acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction,trainable
0.1656,0.0073,0.9607,-0.1463,0.9808,0.06,126.9767,347.2352,2.6924,down,train
0.0053,-0.006,1.0111,0.1198,0.9243,0.042,128.397,356.4661,1.5557,down,train
-0.1876,0.0015,0.9833,-0.2006,0.3125,0.1007,131.1819,4.0949,358.7244,down,train
-0.1222,-0.0121,0.997,0.0626,-0.6545,-0.0624,131.9345,357.8739,358.6014,down,train
0.0303,0.041,0.9655,-0.0629,-0.9746,0.0356,132.86,347.9472,358.9219,down,train
0.257,0.018,0.9602,0.066,-1.3976,-0.045,134.3569,337.5842,359.06,down,train
0.4114,0.0986,0.9024,0.0113,-0.3787,-0.283,133.0259,330.6531,0.6115,down,train
0.475,0.1083,0.8076,0.0452,-0.1804,0.0161,134.7773,326.7577,2.4898,down,train
0.601,0.1447,0.746,-0.2428,-0.4755,-0.0078,136.0087,321.6427,0.203,down,train
0.7317,0.125,0.6148,-0.4459,-0.6346,0.0304,136.0595,313.651,356.2203,down,train
0.8364,0.1112,0.521,0.2099,-0.4605,-0.0695,136.3021,304.3039,0.8647,down,train
0.8808,0.1486,0.4864,0.4744,-0.9232,-0.0832,130.8925,294.9857,10.333,down,train
0.9598,0.1702,0.3655,0.2884,-0.6896,0.0704,120.3813,287.7908,19.7001,down,train
0.9295,0.1221,0.2939,0.1237,-0.601,0.0998,113.9357,283.068,24.7189,down,train
0.9899,0.1272,0.1825,-0.1391,0.3247,-0.0203,113.5175,283.9859,23.0501,down,train
0.9274,0.1362,0.3295,0.0271,0.4826,-0.0135,117.2673,288.657,16.5109,down,train
0.9118,0.1131,0.3919,-0.4369,1.3259,-0.2176,118.9107,299.2643,11.2559,down,train
0.7766,0.0476,0.7196,-0.0114,0.7883,0.0976,124.2477,312.7745,1.8131,down,train
0.5693,0.0983,0.7762,-0.2805,1.6185,0.1841,123.9606,330.1251,358.369,down,train
0.3426,0.0493,0.9063,0.1486,1.1906,0.0946,124.4751,345.618,1.4418,down,train
0.105,0.0143,1.0057,0.2525,0.982,0.1007,128.1106,1.1367,1.5088,down,train
-0.0091,0.1127,0.9992,-0.1339,0.2691,0.1856,130.1858,4.7688,2.8065,down,train
-0.0415,0.1095,0.977,0.0405,-0.3904,-0.0713,129.9199,0.4997,4.1912,down,train
0.1772,0.083,0.9957,-0.2032,-1.4255,-0.1385,129.4407,347.7855,1.372,down,train
0.3932,0.0561,0.9299,0.2381,-1.0489,-0.2328,129.5535,336.1712,1.0164,down,train
0.6575,0.1908,0.7304,0.1355,-0.9921,0.2036,131.3186,321.2504,3.8656,down,train
0.755,0.1246,0.6265,0.0151,-0.9359,0.1334,132.6833,310.6271,2.0491,down,train
0.8779,0.1272,0.4774,-0.0371,-0.5342,0.0983,133.1505,303.4275,0.2944,down,train
0.9186,0.1076,0.3643,-0.1547,-0.6518,-0.001,132.3005,296.2019,358.2886,down,train
0.9598,0.1233,0.2035,-0.0108,-0.2499,0.0546,133.0866,290.0577,357.2839,down,train
0.9754,0.1015,0.1933,0.0377,0.0528,0.072,134.5908,289.7017,354.5446,down,train
1.0445,0.1073,0.2166,-0.2039,0.4172,0.0439,134.6907,293.6184,351.0753,down,train
0.9152,0.0952,0.4104,0.2268,0.9688,0.2409,130.4883,304.876,355.9935,down,train
0.8173,0.0537,0.5756,0.009,0.4957,-0.0652,127.4574,311.9352,357.0812,down,train
0.7678,0.035,0.6419,-0.0396,0.5589,-0.0242,124.9674,318.8941,357.9709,down,train
0.6022,0.0488,0.8052,-0.0081,1.4673,0.0561,124.3031,336.3514,356.4406,down,train
0.4139,0.0585,0.9029,0.141,1.0562,-0.0444,123.418,347.9932,359.4752,down,train
0.1283,0.0507,0.9933,-0.1883,0.8353,0.1627,126.213,359.1184,357.2298,down,train
-0.0536,0.0656,0.9953,0.2695,0.6356,0.075,127.0201,8.096,359.8811,down,train
-0.096,0.0656,0.9838,-0.1529,-0.3562,-0.063,127.7994,5.9264,359.3693,down,train
0.1142,0.0658,0.9414,-0.0448,-1.5382,-0.311,124.6236,346.7397,2.5239,down,train
0.33,0.0639,0.9212,-0.0411,-0.9948,-0.0117,124.1341,333.942,2.9341,down,train
0.5358,0.1129,0.8188,0.33,-0.6478,-0.0927,122.7714,325.086,8.1751,down,train
0.7322,0.1483,0.6972,0.1745,-1.1845,0.0485,121.715,312.084,11.4181,down,train
0.8442,0.1819,0.4772,0.1361,-1.1167,0.1092,116.0992,297.9466,17.8958,down,train
0.9552,0.1403,0.33,-0.0038,-0.7428,0.2897,116.301,288.815,16.7077,down,train
0.9625,0.0986,0.2759,-0.0626,0.0283,0.0013,115.066,287.1793,16.0887,down,train
0.8764,0.1054,0.3921,-0.8543,3.5194,0.012,123.1976,320.7948,0.9027,down,train
0.545,-0.0145,0.822,0.3051,0.838,0.0734,124.6846,334.3982,2.081,down,train
0.4272,0.0971,0.9107,-0.0385,1.1184,0.0636,126.0383,346.0645,3.103,down,train
0.1086,0.0784,0.9999,0.2871,1.2812,-0.0855,126.3413,3.1142,5.1751,down,train
-0.0116,0.1049,0.986,0.0782,0.2354,0.0257,128.014,6.4935,5.839,down,train
-0.0183,0.0787,0.9955,0,-0.7267,-0.2064,126.2459,1.9681,5.3117,down,train
0.2577,0.2207,0.9453,0.5813,-1.6748,-0.2079,121.6155,342.3677,12.7274,down,train
0.5169,0.15,0.7647,-0.2856,-1.2332,0.198,121.5429,324.3347,10.8653,down,train
0.739,0.1588,0.6731,0.2199,-0.9482,-0.1065,117.5005,313.6513,16.9016,down,train
0.8849,0.1886,0.4092,0.0156,-0.9613,0.0532,111.312,300.4556,23.0966,down,train
0.9271,0.1668,0.2844,-0.1319,-0.5413,0.267,111.3648,292.8905,21.7223,down,train
0.9521,0.1566,0.1716,-0.007,-0.5557,-0.0103,102.2447,286.1433,28.9183,down,train
0.9812,0.1542,0.0909,-0.0971,0.0206,0.0474,99.3229,285.0521,30.0624,down,train
0.9851,0.1476,0.1353,0.0511,0.8284,0.0358,103.047,290.4844,26.1842,down,train
0.9402,0.1204,0.3414,-0.247,0.6846,-0.1004,109.3761,299.1128,16.4611,down,train
0.8665,0.0991,0.4962,0.0505,0.5001,0.1201,113.1775,304.7163,11.9413,down,train
0.793,0.0993,0.5936,-0.1349,1.1608,-0.0406,115.3016,316.572,8.7984,down,train
0.5957,0.0473,0.7837,-0.1294,1.0032,-0.2009,116.093,328.8738,6.8203,down,train
0.4076,0.1097,0.899,-0.2266,1.6168,0.3672,121.6526,344.8977,4.3481,down,train
0.1605,0.0371,0.9858,0.2102,1.1174,0.1335,124.9409,357.2524,5.4505,down,train
-0.0252,0.0592,0.9848,-0.0128,0.3046,-0.0054,126.056,1.7598,4.8228,down,train
-0.0141,0.0447,0.9992,0.0114,-0.3307,-0.0781,126.6116,0.4191,4.611,down,train
0.0996,0.0471,1.0491,0.1363,-1.842,-0.1362,125.7401,346.8844,4.0099,down,train
0.3394,0.0571,0.9141,0.0278,-1.3081,-0.0192,124.5166,335.119,4.4106,down,train
0.5373,0.1231,0.8125,0.2026,-1.2595,-0.2834,121.6315,322.9721,7.5671,down,train
0.7283,0.1068,0.6828,-0.0204,-1.415,-0.01,119.6811,309.0794,8.7461,down,train
0.9053,0.1246,0.4097,-0.0751,-1.0115,-0.0076,114.8353,295.6232,12.718,down,train
0.9303,0.1139,0.338,0.1369,-0.4751,0.2148,117.3838,289.6383,10.1126,down,train
0.9809,0.0874,0.2279,0.0491,0.1915,0.0504,116.4256,288.7981,10.4676,down,train
0.94,0.0991,0.3244,0.0812,0.7718,-0.1109,115.9901,295.0362,10.4799,down,train
