acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction
-0.9659,0.1117,0.7535,-0.4699,-0.5868,0.1972,129.6654,5.8428,2.7091,punching
-0.3268,-0.1172,1.0703,0.6199,-0.8996,-0.0621,122.0678,2.9482,3.7241,punching
0.2871,-0.4031,0.8854,0.4009,-1.1614,-1.4576,139.3969,2.8549,340.913,punching
0.8122,0.026,0.7696,-0.155,0.7085,0.3108,132.8194,0.8293,344.708,punching
0.6122,0.0117,0.8995,0.516,1.0335,-1.1488,128.7083,2.1572,348.6401,punching
-0.8471,-0.0704,1.2533,0.2109,0.7873,0.4571,128.7962,12.7513,349.4699,punching
-0.8489,-0.0039,0.8351,0.005,-0.7441,-0.7921,129.8359,15.9291,344.7553,punching
-0.2286,-0.0275,1.0652,-0.4204,-0.4967,-0.6818,136.7292,11.395,342.4218,punching
0.4585,0.4108,0.7111,-0.0347,-0.9582,-0.5108,112.9359,353.7412,6.9615,punching
1.0188,-0.1351,0.8466,0.4864,0.7922,-0.1238,121.5575,350.9173,357.5474,punching
-0.1429,0.1874,0.7837,-0.1263,0.9379,0.32,120.0535,0.6779,1.5759,punching
-1.1693,-0.056,1.0525,0.0881,-0.1159,0.1951,111.8575,5.1454,7.3973,punching
-0.8113,0.1726,0.9073,-0.2958,-0.2228,-1.0135,118.5755,4.8338,356.8968,punching
-0.2834,0.4717,0.801,-1.8835,-0.9405,3.5273,110.5997,359.0983,9.4629,punching
1.3133,-0.3669,1.2246,0.5948,0.4907,-1.0734,112.4863,359.2862,357.6623,punching
0.4078,0.034,0.9611,0.5646,-0.1601,0.2226,112.0754,359.53,3.7871,punching
-0.6998,0.2331,0.7786,-0.9241,0.4614,1.2684,113.233,8.8562,4.2906,punching
-1.1073,-0.0333,0.725,-0.4076,-0.03,0.0985,116.4656,12.7229,2.2333,punching
-0.4722,0.2676,0.9441,-0.5994,-0.5774,0.3588,116.4504,6.6042,7.4469,punching
0.1069,-0.2383,1.0162,-0.4928,-0.9815,0.1398,120.937,2.6241,4.9619,punching
0.6573,-0.1071,0.9514,-0.8193,-0.0786,0.3655,128.7289,358.5947,356.9619,punching
0.5254,0.1988,0.9017,-0.1422,0.3496,0.1141,122.7316,356.6885,2.2247,punching
-0.5988,-0.1486,1.1507,0.3327,0.6728,-0.7921,123.9623,4.8295,359.0092,punching
-1.0305,-0.033,0.8824,-0.1785,-0.5438,0.6001,120.7008,8.3643,359.2528,punching
-0.3164,0.0359,0.8615,0.3572,-0.8055,-1.5804,125.2818,4.3,349.3671,punching
0.5259,0.201,0.676,-0.6853,-0.0102,1.6819,129.2985,6.1276,343.8566,punching
0.9155,-0.0613,1.0562,0.0331,0.2629,0.068,125.2703,5.8346,347.229,punching
0.5807,-0.0675,0.9005,0.8398,1.0729,-1.3507,120.649,4.2311,349.1272,punching
-0.9797,0.0568,0.8303,0.1886,0.6822,0.473,120.2542,13.7955,352.6342,punching
-0.9182,-0.0304,0.8125,-0.3591,-1.1403,-0.0719,121.7993,10.8399,352.5713,punching
-0.2708,-0.3488,1.0077,0.502,-1.5645,0.6987,123.7755,3.7207,353.1259,punching
0.6735,-0.1235,0.7796,-0.7164,-0.454,0.937,126.5355,3.9751,351.2579,punching
0.7826,-0.1756,0.9358,0.9164,0.1395,-0.987,123.5241,359.4538,353.7985,punching
0.5925,-0.151,0.9204,-0.3059,1.8206,-0.8685,129.1758,5.7132,350.2437,punching
-0.9891,0.1054,0.637,-0.1724,0.5439,0.3011,124.3471,12.9683,353.6018,punching
-0.5939,0.0126,0.975,0.0004,-1.0603,0.3206,129.761,7.947,355.6384,punching
-0.3907,-0.3676,1.2036,0.5646,-1.0609,0.1441,134.885,6.2537,350.7173,punching
0.4471,-0.7543,0.8237,0.392,-0.468,-0.8987,142.5674,2.4523,335.493,punching
0.6653,-0.1049,0.8858,0.0792,0.5039,-0.2457,133.9943,356.1436,340.6882,punching
0.6442,0.1901,0.9053,0.1932,0.8023,-1.654,118.8628,349.3875,355.8477,punching
-0.7055,-0.3095,1.0886,-0.1504,0.765,-0.0636,112.2085,356.7744,358.3337,punching
-0.8605,-0.0729,0.9516,0.0139,-0.972,0.5961,121.5788,353.5481,354.4333,punching
-0.2952,-0.1843,0.8149,0.4048,-1.8559,-0.4445,125.3058,346.9836,347.2167,punching
0.7358,0.2566,0.6453,0.4079,-0.0087,0.5048,117.3573,335.4996,358.4042,punching
0.7157,0.1758,0.8632,-0.3588,0.6587,0.3255,116.7541,339.6681,357.4785,punching
0.3579,0.1833,0.9451,-0.1654,0.8078,-0.8361,103.9176,343.5281,5.8311,punching
-0.8346,-0.4043,0.9901,0.4858,0.9373,0.655,110.7106,357.8633,0.4017,punching
-0.7079,0.0452,0.8544,-0.2387,-0.9643,0.0185,111.8926,355.1083,358.6094,punching
-0.1716,-0.1443,1.1464,-0.3374,-0.7661,0.2073,115.1764,345.8004,359.8265,punching
0.4696,-0.7285,1.2139,1.3727,-1.4692,-1.3339,117.8933,346.3342,358.6571,punching
0.7366,0.0051,0.9063,-0.1972,0.3337,0.1276,119.9052,345.6729,0.8234,punching
0.512,0.1491,0.8161,0.2023,0.4669,-0.8553,115.6432,349.3435,5.3379,punching
-0.8015,-0.028,0.8839,0.2277,0.8609,0.973,115.489,358.0905,12.842,punching
-0.877,0.0944,0.9692,0.4195,-1.0706,-0.5905,116.2825,357.3833,11.351,punching
-0.333,-0.0246,0.9714,0.0392,-1.3767,-0.954,112.9749,352.9242,5.6362,punching
0.3503,0.3256,0.4552,-0.8138,-0.9866,2.0387,129.4925,336.7076,350.2105,punching
0.8185,0.0369,0.7954,0.115,0.5591,-0.0056,124.9368,335.7567,356.278,punching
1.0762,0.0112,0.9246,0.3599,1.3921,-1.0581,126.1179,339.5079,0.1174,punching
-0.8553,-0.2603,0.9685,0.3031,0.7103,-0.1244,127.9662,354.3496,355.4581,punching
-1.0937,-0.0634,0.7423,0.0414,-0.6543,0.1975,125.4743,355.2125,356.7597,punching
-0.3276,0.2251,0.8437,-0.1993,-0.6155,-0.3682,128.292,346.2313,354.9408,punching
0.5659,0.6788,0.3609,-1.8584,-0.6953,1.9828,142.8858,331.9648,347.8671,punching
0.8808,0.0697,0.9648,0.3327,0.2757,-0.706,138.2386,331.0129,352.6639,punching
0.8597,0.0806,0.9836,-0.1498,0.4697,-0.7979,132.0264,333.0398,0.7653,punching
-0.9042,-0.3112,0.9075,-0.1755,1.2635,0.4852,143.5877,355.2395,347.6437,punching
-1.1283,-0.2034,0.7118,0.1748,-0.7389,0.21,142.49,358.0355,349.6173,punching
-0.3831,0.134,0.9134,-0.0655,-1.0969,-0.6348,138.0271,347.6748,352.9393,punching
-0.134,-0.1616,1.0413,1.0316,-0.8822,-1.2521,143.982,346.0229,352.6179,punching
1.0721,0.1258,1.3082,-0.2528,-0.6113,0.1071,143.711,348.6325,352.6557,punching
0.5455,-0.0357,1.082,0.1009,0.0191,-0.7799,132.8018,349.7215,356.8561,punching
-0.4337,-0.2224,1.1766,-0.2659,0.9315,0.2891,136.9129,357.5419,348.7264,punching
-1.1589,-0.0839,0.7842,-0.5023,0.0143,0.0457,130.8968,5.2955,346.1607,punching
-0.5065,-0.0967,1.0408,0.9977,-1.5126,-0.4589,129.5811,355.5506,350.2387,punching
0.6881,-0.2371,0.6663,1.7008,-0.6699,-1.2484,126.9525,348.7832,4.4293,punching
0.8141,0.1233,0.9292,-0.2082,0.7867,-0.2194,127.2584,349.3905,2.6769,punching
0.8255,-0.062,0.9577,0.1797,0.605,-1.1229,123.2001,352.5823,3.6027,punching
-0.6043,-0.144,0.7908,-0.9437,0.6044,0.1905,135.6436,2.5534,354.5006,punching
-0.8286,-0.1843,0.8649,0.1782,-0.2469,0.7381,134.7788,2.8336,357.5013,punching
-0.5692,-0.1896,0.9287,0.3373,-1.2805,-0.497,134.0933,358.4902,0.1898,punching
0.1857,-0.4316,0.9714,2.2252,-0.6024,-0.6366,129.7458,354.6478,2.257,punching
0.8624,0.2345,0.9782,-0.5826,0.6764,1.4614,130.7733,349.957,354.7398,punching
0.8052,0.2207,0.9619,0.224,0.9284,-0.4509,125.129,352.6403,354.6866,punching
-0.2471,0.2646,0.7611,-1.0988,1.7561,1.2662,122.936,1.4862,351.74,punching
-1.076,-0.4704,0.8278,0.0579,0.1566,-0.4512,124.9041,9.6766,348.2464,punching
-0.6062,-0.1054,0.8741,0.5276,-1.3519,-0.4744,124.5438,2.7678,349.7894,punching
