acc_x,acc_y,acc_z,gy_x,gy_y,gy_z,pitch,roll,yaw,direction
0.0015,-0.2948,0.6512,1.8153,0.126,-0.0557,137.1104,48.155,336.7748,uppercut
-0.9686,-0.3269,0.4457,1.9488,-0.9717,-0.8058,125.5271,39.7275,335.5834,uppercut
-1.4171,0.7412,0.8239,-0.3288,-0.6965,-0.4857,130.7974,29.011,354.4925,uppercut
-1.303,-0.0162,0.7618,-0.0796,1.5836,-0.0383,129.1991,42.3821,356.294,uppercut
-0.9819,0.2331,0.7299,-0.155,0.5494,-0.3761,129.1176,49.7675,11.7511,uppercut
-0.0975,-0.0118,0.1837,-0.4195,2.9803,1.2247,150.1895,67.0297,20.6957,uppercut
-0.2779,0.1877,0.195,-1.8618,-0.793,-0.6195,138.8704,71.9562,357.9277,uppercut
0.0824,0.184,0.465,-0.9012,-0.5975,-0.8718,126.9716,62.5555,343.7719,uppercut
-0.8548,-0.1525,0.5547,0.5615,-1.5673,-1.3779,111.964,44.0712,329.8355,uppercut
-1.3539,-0.5806,1.5438,0.7442,-0.5199,0.2491,114.1003,30.6281,334.3716,uppercut
-1.2581,-0.4332,0.8661,0.4745,2.2708,0.51,109.9301,48.6291,336.6345,uppercut
-0.7037,-0.5186,0.7945,0.1361,1.4134,0.6001,98.9826,58.3007,323.8737,uppercut
-0.2471,-0.4108,0.166,0.7396,-1.3944,1.5136,117.4777,59.0816,344.8044,uppercut
-0.0338,-0.1139,0.474,-0.3878,0.6813,-0.0413,119.5206,54.1911,342.2914,uppercut
-0.2301,-0.1814,0.368,0.3181,0.1007,-0.5972,109.938,54.3405,336.4544,uppercut
-1.4872,-0.2299,0.433,2.2084,-3.6647,0.4522,117.201,34.8216,353.4689,uppercut
-1.0399,0.1532,1.5738,-0.0787,-1.3025,-0.9356,121.8339,11.3636,352.565,uppercut
-0.953,0.0495,1.0082,-0.086,3.6874,-0.165,111.8389,40.1363,343.1096,uppercut
-0.5164,0.4538,0.8624,-1.3169,2.7164,-0.301,105.4147,56.0949,341.1701,uppercut
-0.5946,-0.1722,-0.1449,-0.1938,-0.3694,0.9874,99.5441,66.0873,333.8263,uppercut
0.1229,-0.282,0.7618,1.1733,0.1584,0.0008,109.9369,62.8192,335.1235,uppercut
-0.2663,-0.0574,0.3824,0.968,-3.7022,-0.8776,107.5931,47.4478,329.7338,uppercut
-1.2088,-0.1978,0.8951,-0.1862,-1.7912,-0.3284,121.1954,30.8544,333.4088,uppercut
-1.4455,0.5672,1.0608,-2.1165,-0.2918,-0.5639,122.2871,26.8465,341.0754,uppercut
-1.4302,0.0493,0.8907,-0.5032,0.9971,-0.1159,118.3125,40.5744,338.4587,uppercut
-0.7637,0.2095,0.416,-1.6132,0.1822,0.4718,121.8881,43.3655,343.951,uppercut
0.4985,-0.228,0.9031,-0.1199,-0.7224,0.7995,136.1598,38.7885,346.1714,uppercut
0.3368,-0.069,0.4136,0.0982,1.7009,-1.089,119.9126,47.3212,336.4715,uppercut
-1.2912,-0.1732,0.1448,1.3566,-1.0331,-0.0685,116.2055,45.373,341.0727,uppercut
-1.6064,0.3387,0.5444,-0.7155,-0.888,-0.1354,122.014,38.09,351.7843,uppercut
-1.0515,0.0842,1.052,0.3434,1.652,0.495,125.1305,46.4665,3.5646,uppercut
-1.346,0.0296,0.427,0.0976,1.2406,0.5317,142.7838,65.3909,16.7289,uppercut
-0.6183,-0.095,0.1158,-1.1681,0.7293,-0.2145,126.8667,78.2566,347.0899,uppercut
-0.1052,-0.0077,0.0285,0.2103,-0.3437,-0.0875,127.818,76.6379,349.9923,uppercut
-0.2641,0.1258,0.426,-0.3108,-1.6723,-1.005,121.605,63.0945,341.6235,uppercut
-1.3218,-0.2436,0.9609,1.4106,-2.7282,-0.2328,123.664,36.4785,344.449,uppercut
-1.1591,0.7056,0.8661,-0.4269,-0.6934,-0.5138,130.1661,24.1575,5.224,uppercut
-1.13,-0.2849,0.9843,-0.3966,0.3063,-0.096,125.2222,26.009,357.5445,uppercut
-0.7605,0.2952,0.8517,-0.8383,1.4073,-0.0038,131.2153,37.5799,5.6981,uppercut
-0.8437,-0.2089,0.3602,-0.7167,0.5799,0.9706,149.0843,56.7037,1.8213,uppercut
0.4878,0.169,0.704,0.4451,0.0983,-0.37,154.2974,46.1309,9.1622,uppercut
-0.1116,-0.0545,0.3938,-0.4855,-0.5462,-1.34,137.0023,46.7245,358.8251,uppercut
-1.1283,-0.2077,1.0769,1.8202,-3.0822,1.0271,130.8975,16.2677,8.7494,uppercut
-0.9478,0.2188,1.4205,-1.9702,0.6386,-0.2829,133.2794,12.6426,350.4799,uppercut
-1.1285,0.1738,0.8649,-1.6611,0.9171,1.3756,132.2942,23.7271,348.7523,uppercut
-0.5255,-0.4439,1.2587,1.6418,0.5625,-0.4454,133.6484,22.6947,346.7773,uppercut
0.7055,0.2914,0.7338,-1.9192,2.3756,0.4761,133.4926,27.9738,344.5803,uppercut
-0.2019,-0.2142,0.4555,0.053,0.3056,-0.0306,128.3001,33.265,335.9182,uppercut
-0.742,0.6215,0.3616,-0.3374,-1.8672,-0.2637,130.1731,26.2982,356.3014,uppercut
-1.132,0.4475,0.9129,-0.1413,-0.9643,1.0014,138.2055,16.5612,359.9981,uppercut
-1.2712,0.0199,1.2224,-0.2512,-0.1858,-0.7353,135.1968,16.5845,343.6544,uppercut
-0.8684,0.3045,0.8337,1.1284,2.1404,-1.6494,118.0315,38.2269,329.4398,uppercut
-0.8012,0.2231,0.3604,0.4137,1.2678,0.2027,113.4141,48.6629,346.6939,uppercut
-0.0501,-0.1387,0.4023,-0.7167,-0.6998,0.0286,114.3997,45.9847,340.7341,uppercut
0.1137,-0.2005,0.6677,0.9433,0.8365,-0.6357,115.5034,44.6624,344.7116,uppercut
-0.9906,0.3156,0.145,0.1587,-1.9744,-0.7716,110.9261,36.607,355.4697,uppercut
-1.2756,-0.3093,0.7952,3.0129,-3.4112,-0.2622,117.1938,12.7073,354.9555,uppercut
-0.8605,-0.0374,1.4846,1.2698,1.4,-0.3,116.8126,17.4598,6.9852,uppercut
-0.6166,0.2761,0.9268,-0.8313,3.4427,-0.5224,124.4563,38.6191,14.077,uppercut
-0.878,0.3236,0.1236,-0.7057,0.6526,1.0231,145.561,53.2071,37.9614,uppercut
-0.099,-0.171,0.0305,-0.4186,0.145,-0.191,142.641,57.006,27.699,uppercut
-0.2666,0.0233,0.599,-0.9375,-1.844,-0.0193,137.4895,48.8294,18.5073,uppercut
-0.8387,-0.124,0.8583,-0.5423,-2.537,-0.436,118.9844,23.0073,8.1647,uppercut
-1.3934,0.1187,1.1239,-1.7494,-0.1861,-0.246,116.6955,20.5573,4.0006,uppercut
-0.9454,-0.001,1.1003,-0.8954,0.3188,0.6245,117.9905,24.7826,9.0817,uppercut
-0.3786,0.1437,0.3448,-1.8315,1.9027,0.6221,136.7851,37.8406,1.1849,uppercut
0.6323,0.2401,0.8702,-2.0041,-0.9747,0.4599,145.7567,23.856,0.6416,uppercut
0.5601,-0.0251,0.5315,0.7112,2.4693,-1.6989,129.4839,35.7175,359.7868,uppercut
-1.5185,-0.6518,0.3051,2.6156,-1.3468,2.2066,129.4353,37.0101,1.5771,uppercut
-1.7987,0.6463,1.3462,-2.5805,0.4354,-0.2448,128.6159,29.7385,8.8095,uppercut
-1.3699,0.0993,0.6307,0.6687,1.101,-0.7551,129.6635,46.2843,12.8765,uppercut
-0.7018,-0.5305,0.6721,2.7591,-0.4992,0.9443,140.9289,55.6565,9.2388,uppercut
0.2335,0.2693,0.3958,-1.436,0.7241,-0.8226,134.9447,53.2679,357.161,uppercut
-0.4376,-0.3406,0.4781,1.0111,-0.0083,0.4104,127.7752,55.4783,347.1907,uppercut
-1.4842,-0.0572,0.4228,-0.1804,-1.0502,0.9562,127.994,44.1893,348.6986,uppercut
-1.0305,0.4545,0.359,-0.4711,-2.6742,0.2088,135.416,29.0515,0.0543,uppercut
-1.1846,-0.4554,1.0788,-0.2906,2.9485,-0.3459,127.5867,46.4135,337.3666,uppercut
-1.0602,0.0532,0.3802,-0.3212,2.1184,0.7461,127.7208,64.4123,353.5544,uppercut
-0.5514,-0.2687,0.2461,0.7219,-0.6702,0.9684,142.7719,67.8522,4.0179,uppercut
-0.2557,0.1413,-0.0677,-0.7876,-0.2597,-0.2753,140.945,65.7725,2.078,uppercut
0.0747,0.3989,0.6994,-0.7717,-1.0257,-0.4641,152.1349,50.4976,8.1042,uppercut
-1.8513,-0.1303,0.9514,0.8902,-2.8195,-0.2744,145.4061,32.0631,4.3205,uppercut
-1.3954,-0.0417,0.8581,0.2457,0.9819,0.2513,135.8933,34.2067,6.2765,uppercut
-1.4001,-0.1076,0.232,-0.6126,0.5564,1.7528,145.4929,50.2819,12.2883,uppercut
0.8595,-0.1971,1.0472,-0.4879,0.0436,0.0784,146.5526,28.6559,17.1593,uppercut
